"","x"
"1","A0A023PYH8"
"2","O13533"
"3","P23748"
"4","P25377"
"5","P32641"
"6","P33296"
"7","P33333"
"8","P34231"
"9","P35735"
"10","P38902"
"11","P39113"
"12","P39712"
"13","P40085"
"14","P40340"
"15","P40505"
"16","P53848"
"17","Q02455"
"18","A0A023PZ99"
"19","P07702"
"20","Q03954"
"21","P25087"
"22","Q04636"
"23","P25381"
"24","Q9ZZW2"
"25","P32798"
"26","P33308"
"27","P33749"
"28","P34233"
"29","P35994"
"30","P38930"
"31","P39676"
"32","P39975"
"33","P40154"
"34","P40343"
"35","P40522"
"36","P53853"
"37","Q02516"
"38","Q03964"
"39","Q04706"
"40","A0A023PYF4"
"41","A2P2R3"
"42","P23369"
"43","P25364"
"44","P32578"
"45","P33203"
"46","P33329"
"47","P34227"
"48","P35177"
"49","P38892"
"50","P38995"
"51","P39710"
"52","P40049"
"53","P40219"
"54","P40489"
"55","P40573"
"56","Q01926"
"57","Q03868"
"58","Q04623"
"59","Q99314"
"60","A0A023PZC7"
"61","P21374"
"62","P25297"
"63","P25573"
"64","P32874"
"65","P33312"
"66","P34164"
"67","P34240"
"68","P36097"
"69","P38962"
"70","P39702"
"71","A0A023PZI9"
"72","P40014"
"73","P22209"
"74","P25300"
"75","P40166"
"76","P32564"
"77","P40348"
"78","P32901"
"79","P40557"
"80","P33324"
"81","P53854"
"82","P34217"
"83","Q02659"
"84","P34758"
"85","P36113"
"86","Q04521"
"87","P38970"
"88","Q8TGK6"
"89","P39709"
"90","P40035"
"91","P40168"
"92","P40461"
"93","P40566"
"94","Q01329"
"95","Q03764"
"96","Q04562"
"97","Q8TGL2"
"98","P0CX27"
"99","Q12454"
"100","Q03631"
"101","Q6B0Z2"
"102","O13535"
"103","P36001"
"104","Q05775"
"105","P06182"
"106","Q04705"
"107","Q3E7C1"
"108","P23644"
"109","O13512"
"110","O13511"
"111","A0A023PZM3"
"112","A0A023PZG5"
"113","A0A023PZE2"
"114","Q12480"
"115","Q12502"
"116","Q12515"
"117","Q12734"
"118","Q12438"
"119","Q12425"
"120","P30656"
"121","P30777"
"122","P25382"
"123","O13525"
"124","P39104"
"125","P53755"
"126","P53759"
"127","P53832"
"128","P39547"
"129","P40080"
"130","P40075"
"131","P39986"
"132","P39993"
"133","P40016"
"134","P53901"
"135","P53902"
"136","P53904"
"137","P53919"
"138","P53928"
"139","P54857"
"140","P53850"
"141","P62651"
"142","Q8TGR1"
"143","P53881"
"144","P53891"
"145","P53947"
"146","P53952"
"147","P53961"
"148","Q01476"
"149","Q01477"
"150","Q01532"
"151","Q01589"
"152","Q00711"
"153","P53726"
"154","P53728"
"155","P87284"
"156","P89495"
"157","P54074"
"158","Q8TGT7"
"159","Q8TGU0"
"160","Q8TGU4"
"161","Q92317"
"162","Q96VG8"
"163","Q96VH5"
"164","Q99186"
"165","P53870"
"166","P53873"
"167","Q99339"
"168","Q00246"
"169","Q00402"
"170","P87274"
"171","P54867"
"172","Q8TGN9"
"173","Q8TGP0"
"174","Q8TGQ0"
"175","Q8TGQ2"
"176","Q8TGQ4"
"177","Q8TGQ8"
"178","O13518"
"179","Q3E804"
"180","Q3E760"
"181","Q12248"
"182","Q12255"
"183","O13561"
"184","P06844"
"185","P47151"
"186","P25615"
"187","P32583"
"188","P13586"
"189","P53968"
"190","P53969"
"191","P53981"
"192","P43580"
"193","P28737"
"194","P46957"
"195","P32612"
"196","P36092"
"197","P32490"
"198","A0A023PXF8"
"199","Q02733"
"200","Q08272"
"201","Q04608"
"202","P43638"
"203","P38777"
"204","P40994"
"205","A0A023PXB9"
"206","A0A023PXI8"
"207","A0A023PXJ7"
"208","Q05166"
"209","P40456"
"210","P39551"
"211","P53084"
"212","P47025"
"213","P39013"
"214","P32912"
"215","P09007"
"216","A0A023PZF5"
"217","P0CX58"
"218","P46970"
"219","P07248"
"220","P40512"
"221","Q04598"
"222","Q12512"
"223","P0CL42"
"224","P04803"
"225","P47044"
"226","A0A023PXF2"
"227","A0A023PXE8"
"228","Q07410"
"229","P33338"
"230","P21373"
"231","P38843"
"232","P40023"
"233","P33328"
"234","P36148"
"235","P51601"
"236","P22213"
"237","P49704"
"238","P38855"
"239","Q03973"
"240","P18888"
"241","P16622"
"242","Q12004"
"243","Q05871"
"244","P36016"
"245","Q3E765"
"246","P25566"
"247","O13563"
"248","P04801"
"249","Q04949"
"250","A0A023PXH5"
"251","P29509"
"252","P38070"
"253","Q02209"
"254","P36015"
"255","Q3E7Z2"
"256","Q12117"
"257","P07278"
"258","Q8TGP3"
"259","P32563"
"260","A0A023PXK7"
"261","A0A023PXL1"
"262","A0A023PXM2"
"263","A0A023PXG3"
"264","P38986"
"265","A0A023PXC2"
"266","A0A023PXC7"
"267","A0A023PXD3"
"268","A0A023PXD5"
"269","A0A023PXH2"
"270","A0A023PXJ3"
"271","A0A023PXI4"
"272","P32584"
"273","P47031"
"274","P38185"
"275","P69852"
"276","Q04601"
"277","P17065"
"278","Q12025"
"279","P39083"
"280","P34760"
"281","P31244"
"282","P0CL28"
"283","P05085"
"284","Q3E801"
"285","Q02724"
"286","P05066"
"287","P36153"
"288","Q08504"
"289","P43581"
"290","Q03435"
"291","Q07915"
"292","P40356"
"293","P53145"
"294","P25627"
"295","P36115"
"296","P38255"
"297","P32770"
"298","P18238"
"299","P53938"
"300","Q05473"
"301","P25567"
"302","O13564"
"303","P36129"
"304","Q12365"
"305","Q02933"
"306","P41896"
"307","P05150"
"308","P53970"
"309","P14843"
"310","Q08110"
"311","P36162"
"312","P38732"
"313","P46993"
"314","P25345"
"315","Q12476"
"316","P33339"
"317","P37291"
"318","P38142"
"319","Q00776"
"320","P50107"
"321","P53975"
"322","Q12751"
"323","Q04082"
"324","P36090"
"325","P53230"
"326","P53264"
"327","Q06204"
"328","P0C1V3"
"329","P22470"
"330","P53724"
"331","P50085"
"332","P18239"
"333","P25339"
"334","P40206"
"335","Q12333"
"336","P36525"
"337","P41818"
"338","P53929"
"339","P38426"
"340","P54007"
"341","P53247"
"342","Q12222"
"343","A0A023PZF9"
"344","Q8TGS7"
"345","Q05902"
"346","P15705"
"347","P12695"
"348","P43555"
"349","Q3E789"
"350","P0CX82"
"351","Q12139"
"352","Q12141"
"353","P13434"
"354","Q00618"
"355","Q12199"
"356","Q99257"
"357","P39992"
"358","P38238"
"359","P38776"
"360","Q12331"
"361","Q12406"
"362","Q02486"
"363","P46962"
"364","Q99288"
"365","Q05788"
"366","P32364"
"367","P50105"
"368","P17695"
"369","Q08968"
"370","Q05785"
"371","P07266"
"372","Q02896"
"373","P35172"
"374","P34252"
"375","P30606"
"376","Q08956"
"377","P50109"
"378","P25568"
"379","P40462"
"380","Q05958"
"381","P50861"
"382","P38235"
"383","P38790"
"384","Q03630"
"385","P25555"
"386","Q03338"
"387","P25346"
"388","P03874"
"389","P43603"
"390","P07281"
"391","P14540"
"392","P00401"
"393","Q99401"
"394","Q12254"
"395","P42940"
"396","Q08560"
"397","Q12471"
"398","Q12347"
"399","Q8J0M4"
"400","P36130"
"401","P40554"
"402","Q2V2P9"
"403","P15700"
"404","P36093"
"405","Q02775"
"406","P53215"
"407","P36167"
"408","Q12031"
"409","P39526"
"410","P38849"
"411","Q04172"
"412","P40186"
"413","Q08490"
"414","Q06689"
"415","P36025"
"416","P21801"
"417","P28321"
"418","P0C5P0"
"419","Q03713"
"420","P39076"
"421","Q07738"
"422","P35691"
"423","P07275"
"424","Q8TGS4"
"425","P38439"
"426","Q12176"
"427","P35723"
"428","A0A023PYJ7"
"429","Q12218"
"430","Q00539"
"431","Q06247"
"432","P42938"
"433","P40438"
"434","P32589"
"435","P25044"
"436","Q3E821"
"437","Q8TGK9"
"438","P05030"
"439","P50112"
"440","P32849"
"441","P32477"
"442","P32476"
"443","Q06630"
"444","P43602"
"445","Q04396"
"446","Q12068"
"447","Q12253"
"448","P43558"
"449","P43557"
"450","P43682"
"451","P39008"
"452","P24583"
"453","Q8TGV0"
"454","Q00916"
"455","P40550"
"456","P40586"
"457","P0CX51"
"458","P39107"
"459","P0CX64"
"460","Q12204"
"461","Q3E7Y9"
"462","P43587"
"463","P54861"
"464","P32767"
"465","P53389"
"466","P01094"
"467","P01097"
"468","P06843"
"469","P25846"
"470","Q12398"
"471","P38203"
"472","P35843"
"473","Q02873"
"474","Q03080"
"475","P47118"
"476","P41895"
"477","P20435"
"478","Q12266"
"479","P40897"
"480","P25575"
"481","P53739"
"482","Q06096"
"483","P53963"
"484","P35198"
"485","P53075"
"486","P43582"
"487","Q8TGR4"
"488","P53886"
"489","Q08645"
"490","A0A023PYF7"
"491","P32481"
"492","Q02767"
"493","P00175"
"494","P03878"
"495","P34219"
"496","Q05863"
"497","Q07950"
"498","P22108"
"499","P39015"
"500","P32354"
"501","P14741"
"502","P87191"
"503","P26793"
"504","P28778"
"505","P40076"
"506","P53630"
"507","P53845"
"508","P53876"
"509","P53875"
"510","Q92328"
"511","Q99234"
"512","Q99220"
"513","P38312"
"514","P87268"
"515","P87267"
"516","P87287"
"517","P87288"
"518","P38910"
"519","P39002"
"520","P25370"
"521","Q8TGM1"
"522","P00163"
"523","P06169"
"524","P00912"
"525","P06780"
"526","P07258"
"527","P07284"
"528","P0C268"
"529","P12868"
"530","P24000"
"531","P20606"
"532","P21242"
"533","P27476"
"534","P29029"
"535","P31115"
"536","P25358"
"537","P18961"
"538","P15891"
"539","P32582"
"540","P32630"
"541","P33336"
"542","P36062"
"543","P36065"
"544","P36135"
"545","P38693"
"546","P36165"
"547","P39717"
"548","P40031"
"549","P39521"
"550","P39719"
"551","P40033"
"552","P43547"
"553","P43590"
"554","P42937"
"555","P48236"
"556","P49334"
"557","P50079"
"558","P50084"
"559","P53720"
"560","P53838"
"561","P53540"
"562","P53599"
"563","P53615"
"564","P54783"
"565","Q03205"
"566","Q03201"
"567","Q03824"
"568","Q04651"
"569","Q04080"
"570","Q07418"
"571","Q05543"
"572","Q08746"
"573","Q12269"
"574","Q12288"
"575","Q08964"
"576","Q08967"
"577","Q08259"
"578","Q6Q560"
"579","Q8TGN7"
"580","Q99312"
"581","Q99315"
"582","Q99316"
"583","Q3E806"
"584","Q99258"
"585","P53183"
"586","Q9P305"
"587","P32891"
"588","P53184"
"589","P21192"
"590","P47090"
"591","P32875"
"592","P53874"
"593","P53123"
"594","P53124"
"595","Q04751"
"596","Q12375"
"597","Q45U18"
"598","P43619"
"599","P40527"
"600","Q07888"
"601","P53195"
"602","O13516"
"603","P38265"
"604","P53622"
"605","P53687"
"606","P53691"
"607","P53632"
"608","P53633"
"609","Q01722"
"610","Q01684"
"611","Q03640"
"612","Q08687"
