"","x"
"1","P00358"
"2","P00359"
"3","P00360"
"4","P00445"
"5","P00498"
"6","P00549"
"7","P00560"
"8","P00812"
"9","P00830"
"10","P00890"
"11","P00899"
"12","P00924"
"13","P00925"
"14","P00927"
"15","P00931"
"16","P00942"
"17","P00950"
"18","P01123"
"19","P02400"
"20","P02557"
"21","P03965"
"22","P04456"
"23","P04802"
"24","P04806"
"25","P04807"
"26","P04840"
"27","P05150"
"28","P05318"
"29","P05319"
"30","P05373"
"31","P05626"
"32","P05737"
"33","P05738"
"34","P05739"
"35","P05744"
"36","P05750"
"37","P06106"
"38","P06168"
"39","P06169"
"40","P07149"
"41","P07244"
"42","P07245"
"43","P07246"
"44","P07251"
"45","P07256"
"46","P07259"
"47","P07263"
"48","P07275"
"49","P07277"
"50","P07284"
"51","P07347"
"52","P07703"
"53","P07806"
"54","P07991"
"55","P08067"
"56","P08417"
"57","P08518"
"58","P09436"
"59","P09440"
"60","P09457"
"61","P09624"
"62","P09733"
"63","P09938"
"64","P0C0W9"
"65","P0CX24"
"66","P0CX40"
"67","P0CX51"
"68","P0CX53"
"69","P0CX84"
"70","P10659"
"71","P10664"
"72","P10869"
"73","P10964"
"74","P11154"
"75","P11412"
"76","P12612"
"77","P12630"
"78","P12683"
"79","P12684"
"80","P12695"
"81","P12709"
"82","P13663"
"83","P14065"
"84","P14126"
"85","P14540"
"86","P14747"
"87","P14843"
"88","P14904"
"89","P14906"
"90","P14907"
"91","P15019"
"92","P15108"
"93","P15180"
"94","P15274"
"95","P15496"
"96","P15565"
"97","P16140"
"98","P16370"
"99","P16387"
"100","P16622"
"101","P16861"
"102","P16862"
"103","P17255"
"104","P17423"
"105","P17505"
"106","P17649"
"107","P17709"
"108","P17883"
"109","P19097"
"110","P19262"
"111","P19358"
"112","P19881"
"113","P19882"
"114","P20051"
"115","P20436"
"116","P20967"
"117","P21147"
"118","P21242"
"119","P21243"
"120","P21264"
"121","P21373"
"122","P21524"
"123","P21576"
"124","P21827"
"125","P21954"
"126","P22133"
"127","P22141"
"128","P22203"
"129","P22768"
"130","P23254"
"131","P23542"
"132","P23638"
"133","P23639"
"134","P23644"
"135","P23724"
"136","P23776"
"137","P25087"
"138","P25443"
"139","P25451"
"140","P26321"
"141","P26637"
"142","P26783"
"143","P26784"
"144","P26785"
"145","P27472"
"146","P28241"
"147","P28274"
"148","P28777"
"149","P28789"
"150","P28834"
"151","P29311"
"152","P29453"
"153","P29509"
"154","P30657"
"155","P31116"
"156","P31373"
"157","P32263"
"158","P32264"
"159","P32316"
"160","P32324"
"161","P32327"
"162","P32332"
"163","P32340"
"164","P32377"
"165","P32381"
"166","P32449"
"167","P32454"
"168","P32469"
"169","P32473"
"170","P32481"
"171","P32496"
"172","P32565"
"173","P32599"
"174","P32610"
"175","P32614"
"176","P32835"
"177","P32861"
"178","P32891"
"179","P32905"
"180","P33204"
"181","P33298"
"182","P33299"
"183","P33330"
"184","P33734"
"185","P33767"
"186","P34077"
"187","P34730"
"188","P34760"
"189","P35997"
"190","P36007"
"191","P36010"
"192","P36060"
"193","P36136"
"194","P36161"
"195","P36421"
"196","P37012"
"197","P37291"
"198","P37292"
"199","P37302"
"200","P37303"
"201","P38009"
"202","P38011"
"203","P38061"
"204","P38063"
"205","P38071"
"206","P38075"
"207","P38077"
"208","P38115"
"209","P38197"
"210","P38205"
"211","P38230"
"212","P38234"
"213","P38281"
"214","P38328"
"215","P38342"
"216","P38624"
"217","P38625"
"218","P38627"
"219","P38689"
"220","P38697"
"221","P38701"
"222","P38707"
"223","P38715"
"224","P38720"
"225","P38758"
"226","P38764"
"227","P38765"
"228","P38791"
"229","P38792"
"230","P38821"
"231","P38840"
"232","P38861"
"233","P38891"
"234","P38902"
"235","P38972"
"236","P38986"
"237","P39006"
"238","P39076"
"239","P39077"
"240","P39078"
"241","P39079"
"242","P39111"
"243","P39522"
"244","P39714"
"245","P39958"
"246","P39976"
"247","P39986"
"248","P40008"
"249","P40037"
"250","P40047"
"251","P40054"
"252","P40093"
"253","P40106"
"254","P40185"
"255","P40212"
"256","P40302"
"257","P40303"
"258","P40327"
"259","P40413"
"260","P40471"
"261","P40495"
"262","P40510"
"263","P40525"
"264","P40531"
"265","P40961"
"266","P41338"
"267","P41805"
"268","P41814"
"269","P41921"
"270","P42940"
"271","P42943"
"272","P42945"
"273","P43569"
"274","P43588"
"275","P46367"
"276","P46654"
"277","P46673"
"278","P46680"
"279","P46681"
"280","P46948"
"281","P47018"
"282","P47039"
"283","P47047"
"284","P47117"
"285","P47119"
"286","P47176"
"287","P48015"
"288","P48570"
"289","P48589"
"290","P48836"
"291","P48837"
"292","P49090"
"293","P49095"
"294","P49626"
"295","P50861"
"296","P51601"
"297","P52891"
"298","P52910"
"299","P53081"
"300","P53090"
"301","P53172"
"302","P53549"
"303","P53598"
"304","P53723"
"305","P53839"
"306","P53852"
"307","P53900"
"308","P53905"
"309","P53912"
"310","P54113"
"311","P54115"
"312","P54783"
"313","P54838"
"314","P54839"
"315","P54885"
"316","P89886"
"317","Q00764"
"318","Q01217"
"319","Q01532"
"320","Q01976"
"321","Q02199"
"322","Q02326"
"323","Q02948"
"324","Q03148"
"325","Q03161"
"326","Q03195"
"327","Q03558"
"328","Q03705"
"329","Q03862"
"330","Q03940"
"331","Q04062"
"332","Q04178"
"333","Q04217"
"334","Q04344"
"335","Q04409"
"336","Q04430"
"337","Q04491"
"338","Q04728"
"339","Q04792"
"340","Q04894"
"341","Q05016"
"342","Q05506"
"343","Q05905"
"344","Q05911"
"345","Q05933"
"346","Q06103"
"347","Q07505"
"348","Q08220"
"349","Q08225"
"350","Q08647"
"351","Q08723"
"352","Q08745"
"353","Q08822"
"354","Q08971"
"355","Q08985"
"356","Q10740"
"357","Q12074"
"358","Q12109"
"359","Q12122"
"360","Q12125"
"361","Q12165"
"362","Q12265"
"363","Q12335"
"364","Q12377"
"365","Q12464"
"366","Q12480"
"367","Q3E7X9"
"368","Q99312"
